billing_account_id,customer_name,customer_id,notes
01EAD7-C26258-D1FDA8,terralogiq.com,terralogiq_com,auto: org ancestry
01EB5D-9DB5D8-057B01,terralogiq.com,terralogiq_com,auto: org ancestry
01F3A5-E1FFA7-24B575,terralogiq.com,terralogiq_com,auto: org ancestry
01F401-A422C7-ABA27E,terralogiq.com,terralogiq_com,auto: org ancestry
01F830-5667F4-E5E8C3,terralogiq.com,terralogiq_com,auto: org ancestry
01F832-2B1D0D-F05998,terralogiq.com,terralogiq_com,auto: org ancestry
01F87A-21CDB2-2B437C,terralogiq.com,terralogiq_com,auto: org ancestry
01FCD3-D6E14F-24A46D,terralogiq.com,terralogiq_com,auto: org ancestry
01FDF4-32650F-707239,terralogiq.com,terralogiq_com,auto: org ancestry
01FF68-A24AD7-57148C,terralogiq.com,terralogiq_com,auto: org ancestry
01F73F-26B5B6-6D6D5E,thelionparcel.com,thelionparcel_com,auto: org ancestry
013C03-3C1A5B-511B18,wingscorp.com,wingscorp_com,auto: org ancestry
01024A-DA4AC6-521FE3,,,NEEDS MAPPING
010862-0E26CE-CE7B57,,,NEEDS MAPPING
0119DE-11BEEE-BC0ECE,DayTrans / White Horse,daytrans,mapped: DayTrans/WhiteHorse projects
012371-B03D2A-4E7036,,,NEEDS MAPPING
01318C-B532EB-DECC70,TIKI,tiki,mapped: 'TIKI Development' project
014663-DAB0A3-139A45,Ruparupa (Kawan Lama),ruparupa,mapped: Informa/Ruparupa projects
01482B-8C0C2D-4A4922,Pemkot Surabaya,pemkot_surabaya,mapped: parkir-surabaya/surabaya-bergerak projects
016372-82F82A-433751,,,NEEDS MAPPING
018509-728291-1E9D08,,,NEEDS MAPPING
0196E4-9FB915-0858AD,,,NEEDS MAPPING
019A1C-D1998E-36F507,,,NEEDS MAPPING
019DF5-F95405-3773A9,,,NEEDS MAPPING
01ACC4-E7798B-9BAF50,PLN,pln,mapped: 'PLN 123/Mobile Dev' projects
01D196-D9FD53-26AE50,Belitang Panen Raya,belitang_panen_raya,mapped: project name
01D242-BD6EC9-40FFE4,,,NEEDS MAPPING
01DA33-0935DD-D31927,Cipta Krida Bahari (CKB),ckb,mapped: 'HRIS CKB' project
01E694-82D7A8-8D1B54,,,NEEDS MAPPING
